"Participant","Condition","50-250ms_mean_over_channels","250-400ms_mean_over_channels","Time_Window","Channel","HEP_mean_value","Subject"
"WS004","low_trial_2",0.897695,0.94314206,"250-400ms","ch4",1.0129293,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"250-400ms","ch12",0.9153048,"WS004"
"WS004","low_trial_2",0.897695,0.94314206,"250-400ms","ch13",0.9704741,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"50-250ms","ch3",1.9474568,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"50-250ms","ch4",2.120411,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"50-250ms","ch12",2.7196496,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"50-250ms","ch13",1.5023069,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"250-400ms","ch3",-0.69516706,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"250-400ms","ch4",-0.39027742,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"250-400ms","ch12",-0.740536,"WS004"
"WS004","med_trial_1",2.0724561,-0.5370054,"250-400ms","ch13",-0.32204124,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"50-250ms","ch3",2.5814779,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"50-250ms","ch4",2.800892,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"50-250ms","ch12",2.070088,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"50-250ms","ch13",2.592451,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"250-400ms","ch3",-1.1884999,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"250-400ms","ch4",-1.048433,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"250-400ms","ch12",-0.59610134,"WS004"
"WS004","med_trial_2",2.5112271,-1.0485828,"250-400ms","ch13",-1.3612972,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"50-250ms","ch3",-0.8006202,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"50-250ms","ch4",-0.85219306,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"50-250ms","ch12",-0.510915,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"50-250ms","ch13",-0.97761804,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"250-400ms","ch3",0.88526624,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"250-400ms","ch4",1.5882277,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"250-400ms","ch12",1.4308208,"WS004"
"WS004","high_trial_1",-0.78533655,1.2974788,"250-400ms","ch13",1.2856001,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"50-250ms","ch3",-1.3132135,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"50-250ms","ch4",-0.7790062,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"50-250ms","ch12",-0.9582201,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"50-250ms","ch13",-1.2393293,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"250-400ms","ch3",-0.061721947,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"250-400ms","ch4",0.82630277,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"250-400ms","ch12",0.63872916,"WS004"
"WS004","high_trial_2",-1.0724423,0.504264,"250-400ms","ch13",0.61374605,"WS004"
"WS005","low_trial_1",4.5373235,1.684556,"50-250ms","ch3",5.1714587,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"50-250ms","ch4",4.1924505,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"50-250ms","ch12",4.6914754,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"50-250ms","ch13",4.09391,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"250-400ms","ch3",1.215171,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"250-400ms","ch4",1.9664806,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"250-400ms","ch12",1.4291044,"WS005"
"WS005","low_trial_1",4.5373235,1.684556,"250-400ms","ch13",2.1274679,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"50-250ms","ch3",-1.0139003,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"50-250ms","ch4",-0.44074476,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"50-250ms","ch12",-1.0633795,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"50-250ms","ch13",-0.30378208,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"250-400ms","ch3",-0.37865508,"WS005"
"WS005","low_trial_2",-0.7054516,-0.694493,"250-400ms","ch4",-1.1385906,"WS005"
